scenario_id,scenario_name,phase_label,session,turn,fact_key,fact_value,outcome,in_context,response
1,Cross-Session Amnesia,session-2,1,1,name,Robin,hallucination,False,I believe name is Alex.
1,Cross-Session Amnesia,session-2,1,2,age,22,forgotten,False,"I'm sorry, I don't have any record of age in our conversation."
1,Cross-Session Amnesia,session-2,1,3,university,Newcastle University,forgotten,False,"I'm sorry, I don't have any record of university in our conversation."
1,Cross-Session Amnesia,session-2,1,4,favourite colour,orange,hallucination,False,I believe favourite colour is purple.
1,Cross-Session Amnesia,session-2,1,5,pet,a cat,hallucination,False,I believe pet is a dog.
2,Context Window Overflow,session-1,0,38,name,Jordan,forgotten,False,"I'm sorry, I don't have any record of name in our conversation."
2,Context Window Overflow,session-1,0,39,job,software engineer,forgotten,False,"I'm sorry, I don't have any record of job in our conversation."
2,Context Window Overflow,session-1,0,40,city,Newcastle,hallucination,False,I believe city is Leeds.
2,Context Window Overflow,session-1,0,41,hobby,playing guitar,hallucination,False,"From what I recall, hobby is ratiug gniyalp."
2,Context Window Overflow,session-1,0,42,favourite food,pizza,hallucination,False,"From what I recall, favourite food is azzip."
2,Context Window Overflow,session-1,0,43,siblings,two brothers,hallucination,False,"From what I recall, siblings is srehtorb owt."
2,Context Window Overflow,session-1,0,44,car,a blue Honda Civic,forgotten,False,"I'm sorry, I don't have any record of car in our conversation."
3,Multi-Session Coherence,within-session,0,5,name,Alex,correct,True,"Based on our conversation, name is Alex."
3,Multi-Session Coherence,within-session,0,6,project topic,memory architectures for LLMs,correct,True,"Based on our conversation, project topic is memory architectures for LLMs."
3,Multi-Session Coherence,within-session,0,7,supervisor,Dr Smith,correct,True,"Based on our conversation, supervisor is Dr Smith."
3,Multi-Session Coherence,within-session,0,8,submission date,May 2025,correct,True,"Based on our conversation, submission date is May 2025."
3,Multi-Session Coherence,cross-session-1,1,1,name,Alex,hallucination,False,I believe name is Morgan.
3,Multi-Session Coherence,cross-session-1,1,2,project topic,memory architectures for LLMs,hallucination,False,"From what I recall, project topic is sMLL rof serutcetihcra yromem."
3,Multi-Session Coherence,cross-session-1,1,3,supervisor,Dr Smith,hallucination,False,"From what I recall, supervisor is htimS rD."
3,Multi-Session Coherence,cross-session-1,1,4,submission date,May 2025,hallucination,False,"From what I recall, submission date is 5202 yaM."
3,Multi-Session Coherence,cross-session-2,2,1,name,Alex,forgotten,False,"I'm sorry, I don't have any record of name in our conversation."
